accession,name,site_start,site_end,gap_bp,left_gene,left_category,left_phrog_category,right_gene,right_category,right_phrog_category,dist_to_lysis_bp,insertion_score,rationale
DQ004855.1,"Listeria phage P100, complete genome",35341,35458,117,virion structural protein,essential,head and packaging,virion structural protein,essential,head and packaging,29415,5.0,minimal gap (117 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",47638,47733,95,SbcD-like subunit of palindrome specific endonuclease,essential,"DNA, RNA and nucleotide metabolism",exonuclease,essential,"DNA, RNA and nucleotide metabolism",26991,5.0,minimal gap (95 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",48113,48184,71,exonuclease,essential,"DNA, RNA and nucleotide metabolism",SbcC-like subunit of palindrome specific endonuclease,essential,"DNA, RNA and nucleotide metabolism",26528,5.0,minimal gap (71 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",51288,51383,95,DNA primase,essential,"DNA, RNA and nucleotide metabolism",dUTPase,essential,"DNA, RNA and nucleotide metabolism",23341,5.0,minimal gap (95 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",53561,53660,99,RusA-like Holliday junction resolvase,essential,"DNA, RNA and nucleotide metabolism",ribonucleotide reductase large subunit,essential,"DNA, RNA and nucleotide metabolism",21066,5.0,minimal gap (99 bp) · ⚠ both flanks essential · far from lysis cluster
DQ004855.1,"Listeria phage P100, complete genome",66729,66812,83,DNA binding protein,essential,"DNA, RNA and nucleotide metabolism",DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",7906,5.0,minimal gap (83 bp) · ⚠ both flanks essential · far from lysis cluster
JX442241.1,"Listeria phage P70, complete genome",25269,26437,1168,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,21495,70.0,comfortable gap (1168 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",56934,57952,1018,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,53085,70.0,comfortable gap (1018 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",23548,24112,564,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19472,60.0,tight gap (564 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",23741,24302,561,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19663,60.0,tight gap (561 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",24102,25022,920,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,20204,60.0,tight gap (920 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",24315,25148,833,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,20373,60.0,tight gap (833 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",25059,25787,728,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,21065,60.0,tight gap (728 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",25784,26469,685,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,21768,60.0,tight gap (685 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",27412,28126,714,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23411,60.0,tight gap (714 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",55160,55749,589,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51096,60.0,tight gap (589 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",55495,56023,528,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51401,60.0,tight gap (528 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",56047,56779,732,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,52055,60.0,tight gap (732 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",56222,56937,715,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,52221,60.0,tight gap (715 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",56794,57320,526,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,52699,60.0,tight gap (526 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",57320,58200,880,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,53402,60.0,tight gap (880 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",58363,58898,535,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54272,60.0,tight gap (535 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",59860,60422,562,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,55783,60.0,tight gap (562 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",60719,61277,558,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,56640,60.0,tight gap (558 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",63776,64343,567,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,59701,60.0,tight gap (567 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",64086,64614,528,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,59992,60.0,tight gap (528 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",65788,66457,669,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,61764,60.0,tight gap (669 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",66014,66852,838,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,62075,60.0,tight gap (838 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",66466,67169,703,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,62459,60.0,tight gap (703 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",14890,14953,63,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,10563,50.0,minimal gap (63 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",26681,26827,146,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22396,50.0,minimal gap (146 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",26973,27253,280,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22755,50.0,minimal gap (280 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",38631,38724,93,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,34319,50.0,minimal gap (93 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",39885,39960,75,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,35564,50.0,minimal gap (75 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",44650,44731,81,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,40332,50.0,minimal gap (81 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",46676,46806,130,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,42383,50.0,minimal gap (130 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",49216,49533,317,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,45016,50.0,minimal gap (317 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",49776,49913,137,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,45486,50.0,minimal gap (137 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",50581,50689,108,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,46277,50.0,minimal gap (108 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",51832,51904,72,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,47510,50.0,minimal gap (72 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",52648,52707,59,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,48319,50.0,minimal gap (59 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",53543,53595,52,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49211,50.0,minimal gap (52 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",54267,54365,98,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,49958,50.0,minimal gap (98 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",54756,54924,168,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,50482,50.0,minimal gap (168 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",55829,56232,403,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,51672,50.0,minimal gap (403 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",58036,58366,330,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,53843,50.0,minimal gap (330 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",58211,58620,409,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54057,50.0,minimal gap (409 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",58620,59083,463,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54493,50.0,minimal gap (463 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",58907,59306,399,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54748,50.0,minimal gap (399 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",59076,59475,399,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,54917,50.0,minimal gap (399 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",60177,60514,337,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,55987,50.0,minimal gap (337 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",60404,60716,312,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,56202,50.0,minimal gap (312 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",60516,60916,400,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,56358,50.0,minimal gap (400 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",62898,63350,452,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,58766,50.0,minimal gap (452 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",63108,63572,464,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,58982,50.0,minimal gap (464 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",63363,63789,426,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,59218,50.0,minimal gap (426 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",63586,64039,453,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,59454,50.0,minimal gap (453 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",64333,64816,483,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,60216,50.0,minimal gap (483 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",64571,65037,466,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,60446,50.0,minimal gap (466 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",64813,65282,469,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,60689,50.0,minimal gap (469 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",65049,65530,481,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,60931,50.0,minimal gap (481 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",65279,65775,496,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,61169,50.0,minimal gap (496 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",65542,66024,482,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,61425,50.0,minimal gap (482 bp) · neither flank essential · far from lysis cluster · both flanks permissive
JX442241.1,"Listeria phage P70, complete genome",5447,5516,69,ferredoxin,permissive,"moron, auxiliary metabolic gene and host takeover",terminase large subunit,essential,head and packaging,1123,48.0,minimal gap (69 bp) · one flank essential (acceptable) · near lysis cluster (1123 bp) · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",60918,62200,1282,hypothetical protein,permissive,unknown function,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",57201,48.0,comfortable gap (1282 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",61319,62424,1105,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,57513,48.0,comfortable gap (1105 bp ≥ 1000) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",27026,27553,527,hypothetical protein,permissive,unknown function,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",22931,38.0,tight gap (527 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",48579,49094,515,hypothetical protein,permissive,unknown function,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",44478,38.0,tight gap (515 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",48576,49398,822,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,44629,38.0,tight gap (822 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",59485,60156,671,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,55462,38.0,tight gap (671 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",62260,62849,589,hypothetical protein,permissive,unknown function,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",58196,38.0,tight gap (589 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",62454,63098,644,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",hypothetical protein,permissive,unknown function,58418,38.0,tight gap (644 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",10980,11046,66,major head protein,essential,head and packaging,hypothetical protein,permissive,unknown function,6655,28.0,minimal gap (66 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",12135,12213,78,hypothetical protein,permissive,unknown function,head-tail adaptor,essential,connector,7816,28.0,minimal gap (78 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",14502,14603,101,major tail protein,essential,tail,hypothetical protein,permissive,unknown function,10194,28.0,minimal gap (101 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",23502,23712,210,tail protein,essential,tail,hypothetical protein,permissive,unknown function,19249,28.0,minimal gap (210 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",28509,28573,64,hypothetical protein,permissive,unknown function,DnaC-like helicase loader,essential,"DNA, RNA and nucleotide metabolism",24183,28.0,minimal gap (64 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",59299,59796,497,hypothetical protein,permissive,unknown function,HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",55189,28.0,minimal gap (497 bp) · one flank essential (acceptable) · far from lysis cluster · one permissive flank
JX442241.1,"Listeria phage P70, complete genome",9333,9403,70,head morphogenesis,essential,head and packaging,head scaffolding protein,essential,head and packaging,5010,5.0,minimal gap (70 bp) · ⚠ both flanks essential · far from lysis cluster
JX442241.1,"Listeria phage P70, complete genome",30639,30716,77,DnaB-like replicative helicase,essential,"DNA, RNA and nucleotide metabolism",DNA primase,essential,"DNA, RNA and nucleotide metabolism",26319,5.0,minimal gap (77 bp) · ⚠ both flanks essential · far from lysis cluster
JX442241.1,"Listeria phage P70, complete genome",35166,35222,56,DNA polymerase,essential,"DNA, RNA and nucleotide metabolism",HNH endonuclease,essential,"DNA, RNA and nucleotide metabolism",30836,5.0,minimal gap (56 bp) · ⚠ both flanks essential · far from lysis cluster
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",45305,46216,911,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,1061,80.0,tight gap (911 bp) · neither flank essential · near lysis cluster (1061 bp) · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",44123,44187,64,hypothetical protein,permissive,unknown function,endolysin,lysis,lysis,544,73.0,minimal gap (64 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",45212,45385,173,endolysin,lysis,lysis,hypothetical protein,permissive,unknown function,599,73.0,minimal gap (173 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",116962,117021,59,RNA polymerase sigma factor,permissive,transcription regulation,holin,lysis,lysis,212,73.0,minimal gap (59 bp) · neither flank essential · ⭐ adjacent to lysis gene · one permissive flank
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",14580,15686,1106,NinI-like serine-threonine phosphatase,permissive,other,hypothetical protein,permissive,unknown function,29566,70.0,comfortable gap (1106 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",18309,19792,1483,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25649,70.0,comfortable gap (1483 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",18539,20216,1677,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,25322,70.0,comfortable gap (1677 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",20282,21408,1126,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,23854,70.0,comfortable gap (1126 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",34237,35461,1224,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9850,70.0,comfortable gap (1224 bp ≥ 1000) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",112077,112909,832,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,4710,70.0,tight gap (832 bp) · neither flank essential · within 5 kb of lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",115885,115947,62,UvsX-like recombinase,permissive,other,hypothetical protein,permissive,unknown function,1287,70.0,minimal gap (62 bp) · neither flank essential · near lysis cluster (1287 bp) · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",934,1467,533,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,43499,60.0,tight gap (533 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",14536,15353,817,hypothetical protein,permissive,unknown function,NinI-like serine-threonine phosphatase,permissive,other,29755,60.0,tight gap (817 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",15366,15988,622,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,29022,60.0,tight gap (622 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",15683,16511,828,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,28602,60.0,tight gap (828 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",16002,16724,722,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,28336,60.0,tight gap (722 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",17204,17769,565,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,27213,60.0,tight gap (565 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",17545,18312,767,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26771,60.0,tight gap (767 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",17770,18536,766,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,26546,60.0,tight gap (766 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",19794,20770,976,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,24417,60.0,tight gap (976 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",21598,22199,601,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,22801,60.0,tight gap (601 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",22014,22663,649,hypothetical protein,permissive,unknown function,phosphoesterase,permissive,other,22361,60.0,tight gap (649 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",22190,23022,832,phosphoesterase,permissive,other,hypothetical protein,permissive,unknown function,22093,60.0,tight gap (832 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",22804,23416,612,hypothetical protein,permissive,unknown function,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",21589,60.0,tight gap (612 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",23039,23775,736,phosphoheptose isomerase,permissive,"moron, auxiliary metabolic gene and host takeover",hypothetical protein,permissive,unknown function,21292,60.0,tight gap (736 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",25343,26038,695,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,19009,60.0,tight gap (695 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",25535,26309,774,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,18777,60.0,tight gap (774 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",27673,28300,627,hypothetical protein,permissive,unknown function,metal-dependent phosphohydrolase,permissive,other,16713,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",27869,28538,669,metal-dependent phosphohydrolase,permissive,other,hypothetical protein,permissive,unknown function,16496,60.0,tight gap (669 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",30799,31349,550,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,13625,60.0,tight gap (550 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",32253,32827,574,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,12159,60.0,tight gap (574 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",32420,33050,630,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11964,60.0,tight gap (630 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",32853,33422,569,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11562,60.0,tight gap (569 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",33300,34014,714,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,11042,60.0,tight gap (714 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",35186,36016,830,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,9098,60.0,tight gap (830 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",35585,36305,720,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,8754,60.0,tight gap (720 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",36394,36922,528,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,8041,60.0,tight gap (528 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",37370,37997,627,hypothetical protein,permissive,unknown function,hemolysin,permissive,other,7016,60.0,tight gap (627 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",37656,38366,710,hemolysin,permissive,other,hypothetical protein,permissive,unknown function,6688,60.0,tight gap (710 bp) · neither flank essential · far from lysis cluster · both flanks permissive
MN939539.1,"Listeria phage vB_Lino_VEfB7, complete genome",38022,38651,629,hypothetical protein,permissive,unknown function,hypothetical protein,permissive,unknown function,6363,60.0,tight gap (629 bp) · neither flank essential · far from lysis cluster · both flanks permissive
